IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561106536896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561116549931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561077070812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561191559514 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561136293493 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561117197442 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561122310284 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561057425951 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561081427085 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561092239183 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561038456999 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561124358825 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560959549343 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561074851697 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561036965183 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561045201625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560998402262 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561128038581 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561102206049 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561085327359 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561014471369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561035177851 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561090872363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561065589384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560999039254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561071344327 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561026284637 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561086774941 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561056688891 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561094680207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561105721333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561083763714 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561067777711 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561063833873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561074249926 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561038008587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561050400586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560962208267 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561034239539 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561071631424 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561124754517 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561037913022 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561048788153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561071521416 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561072911169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561068173643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561018766890 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561053225325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561040496996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561100309716 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561066291022 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561002398815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561050920737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561061334334 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561040772856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560996240919 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561050423996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561136689023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561064125234 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561041966052 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561043501006 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561034690422 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560975520314 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561090255293 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561074771560 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561071514155 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561058234976 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561038442786 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561020763239 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561072251005 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561076675866 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561033232379 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561085318077 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561097416972 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561176366204 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560977734944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561108957285 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561086538382 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561038406996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561056157492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561112555635 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561034508749 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560984268701 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561049867222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561048513931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561127213925 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561114414328 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561060023546 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561060912970 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561007349947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561078782468 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561101497213 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561086214382 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561050100913 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561031237851 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561050345758 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560969888245 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561060632704 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561105866098 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561026817721 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.561063105122 +/- 0.000042860592 
