IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572598681383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572601660548 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572599081271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572596218823 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572613786431 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572603865334 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572590030586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572575289466 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572591567201 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572594255346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572604320349 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572579218151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572573749720 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572582646114 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572623874092 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572597900734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572559017305 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572588599894 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572606821586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572590963358 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572566603575 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572640191134 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572600323755 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572577340239 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572614203964 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572607674534 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572614108282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572579658894 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572602297067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572564665310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572572012556 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572594618892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572609150454 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572575645421 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572567725119 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572597396487 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572612393986 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572581376585 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572608142256 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572584680454 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572580223936 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572624654251 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572595286349 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572548436614 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572600621006 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572588571381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572587387504 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572604261924 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572614719325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572637825521 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572586047338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572590726993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572580361841 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572577629198 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572607794141 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572584971208 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572605610478 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572614188011 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572597349687 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572585174471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572578814668 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572564761375 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572607912145 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572577069443 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572603256296 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572575126059 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572603569646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572617137107 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572635711240 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572600581863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572602871790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572640328776 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572589378579 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572584415122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572627155615 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572577625241 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572615295947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572581713313 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572557834768 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572612041014 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572552144571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572613024886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572558838978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572594527383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572595871956 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572619260553 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572565624272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572572899850 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572587709587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572619756936 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572621209060 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572604684206 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572600068629 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572611850268 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572600625526 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572588677982 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572578710344 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572582826333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572609204222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572600208758 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.572594839221 +/- 0.000019339238 
