IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542123799651 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541783218362 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542016833350 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541935569286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542407025071 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541774948398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542076216870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542097324435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541545808918 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541687338230 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542043101325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541956374218 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542162935310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541905501693 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541774778398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542117310714 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542333556286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542134204981 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542168051579 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541917813065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541903291044 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542127391062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541895484819 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541766253268 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542321341490 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542132095346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541865362200 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542200356690 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541793779113 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541627421925 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542046992518 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541780477644 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542076704931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542367556358 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542008412370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541629006931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542202132916 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541942038626 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541994760897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541947343567 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541717795465 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542141595057 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541766359447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541695627527 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541672001608 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541784868100 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541722486136 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542011082387 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542271241346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541945321139 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541871057514 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541752116772 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542031878424 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541805043668 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542015903017 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541904601455 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541941485625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541702453808 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542222989330 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542244514284 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542112273724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541833716342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542302400885 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541697407307 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542273386016 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541719295481 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541890426805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541966569298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542243221601 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542169217992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541895757173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541931565497 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541933259812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541939141191 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542122847299 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542426426287 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541938625025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542188140606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541884088276 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542355825437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541809754734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542154515856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542368816860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542174315358 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542112801107 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541704532352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541948977667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542246749962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542073144939 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542145204648 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541731722233 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542004384255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542407848229 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542129302780 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541950945215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541629806880 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542106359969 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.541974499215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542152438345 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542347218866 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.541998072675 +/- 0.000210338898 
