IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563980135578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564199794070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564128780822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564165094841 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564141371758 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564056884460 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564109139558 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564046256239 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564324530828 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564240256040 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564066690583 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564120941587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564190378515 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564160345076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564249600559 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564017978649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564155446748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564227256836 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564129657424 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564210038195 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564042235242 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564277866454 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564177184700 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564102126377 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564093437441 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564234237238 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564112510595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564191002175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564139505576 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564210660573 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564350585850 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564270811491 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564169766510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563925840417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564152499898 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564165597853 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564134134730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564078096393 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564239244367 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564068782207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564005498088 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564087462992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564206160371 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564162182114 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564254705176 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563929113975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564077088905 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564117980400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564283909195 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564194256308 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564084794234 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564157924081 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563965824351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564163622938 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564149043892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564142841843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564251425673 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564041474439 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563902878021 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564175120904 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564192457689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564428718069 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564102573095 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564281289981 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564078048558 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564095094064 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564229541354 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564052400698 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564106692253 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563981446478 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564111996209 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564252607753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564123911971 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564194194989 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564077233390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564024229754 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564055315141 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564310970455 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564106704234 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564192368406 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564129527526 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564461676278 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564279647882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564082939404 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564160357622 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564262278766 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564046083830 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564223446774 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564203220380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564055762028 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564121663151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564290080526 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564209654787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564201900340 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564059801765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564157359562 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564157807060 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563987715306 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564265195926 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564108598357 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.564148725242 +/- 0.000100598764 
