IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573506058224 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573421867050 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573461580693 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573529105069 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573489741243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573536017276 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573485185326 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573545502681 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573457849167 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573538966193 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573522923301 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573612378945 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573528044244 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573641040900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573483960730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573450809128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573579784435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573523802571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573556732761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573581773744 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573571347437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573562755893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573494407708 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573553748604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573520263182 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573489449173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573546169259 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573542153546 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573662404619 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573553308635 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573475577348 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573556339684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573596590195 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573529112935 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573609988696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573548982122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573528327643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573417505723 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573480079125 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573564716861 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573599311287 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573622503870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573495176807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573572328874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573555171045 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573445428682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573493286012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573469860621 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573526858000 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573647473155 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573655759724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573469888565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573547541551 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573652583906 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573502025490 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573514846155 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573565387991 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573558133339 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573599176160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573494900982 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573567492380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573537486326 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573523881484 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573578206485 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573625007513 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573568146759 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573630543705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573594596092 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573465549452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573527129516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573527697217 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573552922502 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573492886323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573434174072 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573521281542 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573556442881 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573524583391 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573494338189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573607641715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573578024333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573447602633 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573529032855 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573450299280 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573520451379 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573561644544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573516508119 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573623301580 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573547562133 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573472419425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573563967324 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573515192142 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573555225522 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573582056935 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573512306900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573549208871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573630607352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573544098708 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573564917682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573557225939 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573469831394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.573538654869 +/- 0.000054518249 
