IAO, [1s,2s frozen] SCF energy -75.414352238431 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552925817207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553162422755 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553104762912 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553028138926 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553108443621 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552838749184 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553029716556 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553068680485 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552966461637 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552994369188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552832903106 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553241854835 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552992253230 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552717395284 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552920874699 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553183760814 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552860088026 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552859797084 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553008869323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553044300141 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552762216428 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552976801740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552863633045 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552932833799 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552951361533 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552878541373 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552996594084 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552824069580 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553127356042 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553080241577 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552711997410 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552850825950 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552980965387 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552846106525 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552937394134 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552699483275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552874577383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553123476485 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552900901857 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552895447714 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552876489304 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553217259444 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552918990263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552958025678 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553051083469 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553042158788 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552920878940 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552833361365 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552725317916 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553004273715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553105876096 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552851249019 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553022140331 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552872888131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552831951790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553166960400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552999245712 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552797137049 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553091934971 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552783121422 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553018198510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553049960180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552822476308 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552842434108 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553004631531 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553001941492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552863386149 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552938845427 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553169770165 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553055251963 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553114747300 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552707442257 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552924389036 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552950793051 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552756766189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553057444100 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553213188561 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553057929795 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552832060266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553090453948 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552997687732 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552867984488 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552802519309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553086458677 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552923922242 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553090870102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553040500675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552948977655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552998869335 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552958129406 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553110542741 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552905683432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552819968602 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553144010894 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553079864382 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552911309728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552631451665 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553040008919 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552851521629 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552947384921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.552958046050 +/- 0.000129462692 
