IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559926256696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559903551093 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559704537948 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559798174823 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559862135943 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559791762425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559926607570 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559856539310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559624575896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559866264698 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559740835822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559887375601 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559929606325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559779699839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559796519297 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559903999519 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560048740426 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559706655799 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559757257223 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559843717930 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559847424065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560024467023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559810151901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559726558952 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559851601390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559902962872 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559905146005 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559848509889 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559660390151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559761052643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559747693524 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559988194674 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559870904434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559871135102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559785050432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559764187441 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559899239093 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559910392992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560053866587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559997549761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559828402413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559910354274 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559986539918 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559765319213 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559990753752 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559972476136 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559936285846 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559944195548 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559925755286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559967147348 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559838881204 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559952171812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559946958207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559810562291 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559767049102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559970783514 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559810134753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560148732977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559860839591 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559875074650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559783394036 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559885533623 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559877859797 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559741455255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559767681607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559931005003 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559851104063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559842792078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560014693176 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559861877803 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559714069544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560036581548 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559905281276 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559670408560 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559956688839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559855019024 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559861984453 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559924233064 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559974768319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559867815276 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559661557332 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559937266035 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559773591527 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559834644983 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559819285391 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559890879325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559862228463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559851909283 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559816546613 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559988509306 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559903694533 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559914081050 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559930450975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559861316353 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559867466262 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559856879772 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560048271260 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559784316189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559732522824 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559793112012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.559865424868 +/- 0.000096910152 
