IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573696468586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573687167294 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573648782152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573695432901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573673019921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573682667398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573708659366 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573720058625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573750998098 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573646195956 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573728550621 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573765385769 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573709932495 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573709479069 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573751524780 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573624620133 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573768498671 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573641066529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573672244050 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573698393117 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573774803001 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573715811422 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573742521665 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573711311463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573777797286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573698960287 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573721552542 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573678885884 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573760912587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573720731776 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573708057127 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573737993931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573719059071 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573714001819 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573746795919 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573781199027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573763680028 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573704406186 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573645861791 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573682837838 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573723375187 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573722035799 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573691622331 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573673534300 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573701754874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573719089588 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573721093949 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573650186590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573649688551 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573666768085 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573718886554 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573712709371 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573705022431 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573690663542 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573705329965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573776402424 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573710454744 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573727499835 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573663067549 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573673821357 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573613771509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573689486418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573729179337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573737840491 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573703696400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573713021182 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573724110160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573720267782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573690972498 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573719197182 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573713404111 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573729424257 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573717903781 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573750929516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573659091388 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573719923851 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573715530405 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573712298248 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573701337035 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573718159871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573706547138 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573825284443 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573663460879 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573700830006 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573714477200 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573739243549 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573628937314 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573763827314 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573666036816 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573655478461 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573728005330 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573804080421 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573703009544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573665584002 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573753772988 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573663585391 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573660685514 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573712085910 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573753492892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573649935304 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.573708272390 +/- 0.000039254779 
