IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555316236538 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555342005179 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555325713431 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555179741117 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555079887926 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555097536566 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555227152020 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555266962481 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555235521708 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555210350022 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555290620032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554904719038 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555273521161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555298678794 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555234533266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555287650994 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555147095025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555254656706 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555193372684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555272325086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555111934399 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555317580055 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555266000528 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555062387578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555230588687 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555285243544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555258200512 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555125241799 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555251566855 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555144815300 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555139757955 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555261101531 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555259516118 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555320345104 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555093975460 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555399247103 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555200492050 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555304287155 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555289702855 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555256412854 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555298270151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555221253513 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555455199028 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555344744339 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555256124596 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555089108966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555321003017 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555171932254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555357423964 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555330776219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555254747979 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555144409584 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555243732721 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555230889802 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555024051590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555179389556 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555175641480 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555257458859 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555212031753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555235101640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555246489513 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555209672483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555452903729 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555217914277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555493286066 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555327282564 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555202671587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555324816113 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555272713755 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555085897380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555477161914 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555209013868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555235678935 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555476189838 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555382444896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555332958340 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555116131275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555232519618 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555024523696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555429600837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555305370280 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555365873928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555303284551 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555531513064 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555276462505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555176125558 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555354529067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555192339356 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555246594934 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555296042107 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555180846778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555209185109 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555394060766 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555167837996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555128467729 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555274764661 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555185757137 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555211909047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555203886298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555367267453 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.555249419572 +/- 0.000106169421 
