IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563030786884 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562826816787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562815295231 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562775812967 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562937657801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563076105990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562774815495 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563017692300 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562906614390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563010058919 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563053879243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562847954804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562754026793 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562858698080 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563008422532 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562840590775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562972084412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562802665431 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562881638651 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563040095637 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563089679669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562857684827 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562903067809 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562821167149 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562930559459 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562855216997 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563052543997 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562888082764 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563054278397 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562894926249 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562897637763 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562947391693 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562873230862 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562796396320 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562898746003 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562875947439 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562841040928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562815463709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562995335753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562940236049 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562917937400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562989929419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562839099470 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562795118277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562955068566 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563145193021 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562796514893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562851335206 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562909606315 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563016126729 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562726978434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562859176766 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562952006223 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562826778751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562941332577 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562964525334 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562959000041 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563037156147 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562746276606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562918822595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562928747100 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562930353607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562877127404 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562900276486 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562711710753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562762196360 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562868119447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562858807501 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562900760326 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562820632363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562924085229 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562829138186 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562922854094 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562880404476 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562814991856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562745708222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562774607713 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562741744133 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562804736547 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562868277012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562932649067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562852423579 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562874690350 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562926483746 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563082274509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563053608765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562889723882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562910799890 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562927987390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562788224118 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562918473938 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562971275283 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562901441689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562954543630 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563086693378 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562817140252 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563004801343 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562898669517 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562853525026 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562906753001 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.562900257909 +/- 0.000091947129 
