IAO, [1s,2s frozen] SCF energy -75.414352238431 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573928111727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573916219915 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573913344037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574002484122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574008985073 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573982705053 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573913347078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573998164873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573925496169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573928980044 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573911368381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573987838762 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573944056845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573932208629 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573959811441 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573883408538 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573986294068 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573924386144 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573963200132 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573974069485 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573881338727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573986341565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573970077910 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574032023038 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573987419913 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573913878686 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573936728696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574004181521 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573967344990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573874437103 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573850051681 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573867845672 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573934843710 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573870361277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574012283695 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573950293723 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573921072993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573974123658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573871210389 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573899972515 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573995987595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573925280341 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573998852051 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573932686899 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573981649703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573955676022 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573970827483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573935129600 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573954182750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573997751728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573931156706 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573988210427 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573991856576 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574015018135 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573965509820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573972660759 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573974723668 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573933788569 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573910533086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573957597423 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574033023294 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573962940993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574120395008 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573988011314 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573861221804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573969975291 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574095138503 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573961215318 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573979040782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574012519688 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573958236585 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573943501788 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573930701825 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573953736642 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573969375764 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573925619176 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573898914082 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573948273450 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574023625643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573944375129 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573909713234 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573982066403 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573937544411 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574028505305 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573913249538 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573875275108 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573970260752 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573971851952 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573979918765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574009713048 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573962679983 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573921302258 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573922349573 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573997528707 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573962743922 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574000557169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574005366885 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573982795250 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573899241643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573893407789 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.573955853051 +/- 0.000047331190 
