IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552708316927 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553075597537 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552870187409 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552807909420 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552959717113 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552927607411 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553116179020 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552875009082 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553088055095 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552942942911 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552998693337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553125467309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553194574521 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552992046336 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553327056000 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553052739147 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552878595337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553027755853 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553100818658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552994469908 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552883651347 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552871421480 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552812730145 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553120495684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552810366289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553005831241 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553187672168 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552932859877 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553017929669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553110890874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552918286371 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552918215906 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553099330978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552988358481 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553058938637 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552935216394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552860819876 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553048256090 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552965190446 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553012481666 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552973619811 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552975760294 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553006362679 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553237329070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553009051169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553035644540 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552788765550 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552967851181 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553005497213 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553024445509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552801479319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553019444497 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553062580557 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552937831189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552986032222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552997210238 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552756626001 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552859537319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552860830160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553087219091 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553159064432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553105353381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553040568618 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552907649753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553152207146 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552869138686 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553082423363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553043159120 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552903728883 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552850617992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552951831839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553067377903 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552954455294 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553096342447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553168397455 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553203841599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553052431893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552863655121 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553032148977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552868058230 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552968311216 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552895100207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552984273191 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552909557393 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553086461949 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553068967806 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552950796126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552863368442 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553045492415 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553005214370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552937711594 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552856837508 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552853048476 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553066860559 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552966011733 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553109320143 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553040320225 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552995981868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552886118204 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552838417037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.552987164222 +/- 0.000112267978 
