IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568145725447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567805692332 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567783853553 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567819281404 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567832877580 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567663083512 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568092600993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567996135807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567885468627 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567919378897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567799136693 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567591296974 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568053076063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568001287937 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567869537619 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567872432212 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567831214469 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567676217604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568106743289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567842086675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567877099346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568049807766 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568264017621 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567877685848 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567797586983 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567729531503 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567804918418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567898800537 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567994319175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568027440005 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567914289236 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567795517340 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567691255835 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567824297993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567746140707 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568118843664 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567864632378 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567574320044 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567881998117 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567765649260 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567749823082 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567526538443 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567901153240 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567911546895 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568144982441 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568252344392 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567974046373 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567675325782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568266453254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568117265100 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567777968441 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567727069931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567747935008 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567905479075 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567865345463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568088392779 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567933713458 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567958710855 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567941358750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567790428550 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567907265963 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567913567180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568184572578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567797793761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567995348243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567620224432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567976064018 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567871062660 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567732755053 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568088795110 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567719983078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567889723624 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567831430106 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567695272273 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567950664398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567925887033 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567720934121 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567705420181 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567925582314 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568007542649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567814024828 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567752408228 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567999235746 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567956709210 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567835267730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568041194856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568014799428 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567758969780 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568220747996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568185953837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567493310631 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567942552958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567863719787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567840321085 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567944831931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567816269502 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567930666493 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567761663152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567744133330 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.568275143340 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.567889929734 +/- 0.000163909424 
