IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572822630969 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572884401128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572897175572 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572853313505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572957605707 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572957747984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572772955248 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572887942254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572811110348 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572772561094 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572918157632 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572914257269 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572837747290 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572903999812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572964806664 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572929999447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572860346228 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572892020001 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572908428690 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572820561367 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572851297910 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572911025290 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572807287586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572862119731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572800471908 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572988178686 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572877123144 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572879229596 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572806788678 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572831651467 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572926225296 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572932082472 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573041874572 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572833087383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572814343219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572842816791 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572833763470 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572817244270 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572954883881 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572827982756 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572912474047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572932320128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572856837539 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572759886719 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572855781239 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572879638640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572812520159 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572892992897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572950085551 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572829073099 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572927701625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572874045734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572846554937 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572878337137 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572898929384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572825429160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572857786323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572910554271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572900761322 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572848693061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572832075697 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572947609657 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572935577047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572874056212 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572990589865 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572789520133 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572890078147 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572842575102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572939966516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572826649570 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572902523235 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572920201283 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572842511892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572866841599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572860589876 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572894309730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572821309644 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572765439474 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572905492694 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573013232767 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572883523494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572904852098 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572811049748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572968401465 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572933242266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572848383113 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572813248371 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572921320286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572878380298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572931210106 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572961933487 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572819623514 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572916546189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572837175906 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572806878681 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572845575851 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572869105086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572945362778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572845239111 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572859676170 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.572877195274 +/- 0.000056577724 
