IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565023921872 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564697690950 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564662433791 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564985480863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565040264967 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564844177305 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564963540458 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564916741989 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564952175349 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565021253800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564950451434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564826636063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564826008055 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564635569635 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565198971655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564851605386 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564829206939 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564800655191 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564813244535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564838660274 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564916595747 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564790981981 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564791771444 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564771271007 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564903723430 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564795171711 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564582342803 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564720441809 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564693544517 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564768800650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564649827301 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564707123360 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564951600722 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564693636888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564704030942 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565083120136 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565272373260 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564924232915 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564657482882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564572180070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564639123396 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565114292839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564846935442 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565078767210 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565024341951 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565046226660 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564929956950 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564770353187 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564901933193 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564993052534 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564761438255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564926005059 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564973307774 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565307431076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565248183545 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565185354070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564931351400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564867805622 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564915769131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565090043617 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564717210585 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564988664939 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564677536613 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565015954513 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564800696457 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565002001356 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564989813088 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564758550099 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565154903788 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565081696862 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564849281336 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564863665703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565087999202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564857208655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564788840064 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565379039787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565117629074 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564602178059 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564646116996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564805146418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565078754234 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564942461062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565274922563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564934265351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564820984221 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564839081047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565105492289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565027299528 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565066544394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564900366580 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564907902416 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564772677984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564940017814 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564732128586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564969798600 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564989141947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564987873351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565242521131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564648236994 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564646069635 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.564901912903 +/- 0.000176152436 
