IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560887819423 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560904212696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560904409576 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561007298972 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560955925564 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560871502311 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560884506038 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560778154221 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560853388719 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560779426986 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560865363028 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560939348526 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560950572899 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560800231563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560875577914 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560895725032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560980855711 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560793411015 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560844481675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560808990535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560877144746 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560922253342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560965539364 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560999253657 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561034116062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560979435201 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560731756149 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560859152079 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561029953288 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560840435600 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560856804494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560828737255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560915861847 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560921851617 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560879520367 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561041569428 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560881046585 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560996107661 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560778241910 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560899001168 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560808995313 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560898282063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560863068593 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560904268035 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560834827565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560881884649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560796351059 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560832905394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560863510686 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561027853373 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560828004057 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560942650795 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560909512439 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561015760021 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560818259944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560780256169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560855639518 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560854782561 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560974345307 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560852831447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560815697721 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560888182672 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560902842621 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560908847566 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560849028397 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560784981611 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560873685612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560835485804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560933854021 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561013137812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560868008595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560817453646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560892171502 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560939909282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560826936329 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560783373161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560945882584 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560961445943 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560939649015 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560905870614 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560982143137 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560857645888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560907843324 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560906762704 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560857923524 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560803742926 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560854299435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560911210375 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560899150733 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560817689801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561015820438 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560973047785 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560956185634 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560736326677 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560852863398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560826639267 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560935089649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560949837173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560854601612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560901511080 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.560888497523 +/- 0.000070060434 
