IAO, [1s,2s frozen] SCF energy -75.414352238431 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574491670125 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574544735796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574544683751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574504072487 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574553447076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574516956471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574512447352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574494409131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574544216640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574520025046 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574435718972 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574555794197 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574485914138 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574518447764 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574534867419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574589755008 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574567406418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574545039767 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574457964008 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574533531061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574477292026 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574572802953 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574539483206 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574521777604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574591872036 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574450935453 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574557402333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574511108896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574560413462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574512836727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574533416186 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574500764843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574542646735 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574575523036 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574540689234 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574526004750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574510254077 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574553740421 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574493936702 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574393086029 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574555405848 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574562057867 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574497013801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574520498386 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574494255911 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574502664612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574575238104 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574556803975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574453138982 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574618192071 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574579300895 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574426831882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574529882085 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574520328683 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574519121590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574567644552 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574565717852 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574593739984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574534859923 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574530460799 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574505174048 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574527901318 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574446057637 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574538634301 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574474634102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574518235715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574555852274 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574519910053 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574581356942 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574479640787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574541042207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574526155877 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574544008107 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574591406611 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574523730942 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574520493846 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574511422863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574572890975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574537764876 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574503787212 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574608747671 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574565602925 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574488120779 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574471857796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574477320200 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574554064821 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574552686490 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574500220331 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574466582498 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574455979868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574496959951 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574522495383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574492560864 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574460247822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574512646198 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574530675655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574514829761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574477145657 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574516587003 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.574602478634 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.574524081581 +/- 0.000041665741 
