IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554224916214 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554304550916 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553996741116 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554018997525 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554022935743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554109790973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554131033603 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554003612993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554091332439 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553973918870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553907835906 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553958487089 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553866943171 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554344323650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554157658199 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553924747720 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554176989605 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554159908609 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553918561622 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554151485783 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554128970344 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554048488412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554147266703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554039542982 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553972237173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554155822207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554369690153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553981296237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554060598719 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554240244374 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554097516091 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553968546198 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553952180515 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553961401837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553999774917 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554162618883 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554063933151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554033246606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554074633844 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553962198574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554086601491 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554046016109 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554086557489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554057925773 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554054031358 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554124569996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554120480183 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554189128067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553971064964 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554120126684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554148472229 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553983016752 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554249513790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553929556062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554054035564 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554291110222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554113685137 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554156618749 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553893670448 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553981218371 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554158608169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554122756430 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554095595935 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554063335892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554173484032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554151354027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554152239355 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554140240209 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554155120297 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553975339545 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554224038356 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553885446109 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554057424102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554021885302 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554092836533 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554238630450 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554178100101 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554084853912 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554111549281 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554075784961 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553995268846 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554114161903 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554183503069 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554102087936 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554028883688 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553919926750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554177510143 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554027986421 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554241010316 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554095102355 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554033166236 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554047079965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554071470520 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554011610357 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554254841810 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554061954374 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554172360086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554385092395 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554059884501 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553980134426 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.554086440382 +/- 0.000106535151 
