IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562052814801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561761375718 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561870615893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562010996620 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562022989992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561777209762 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562003361536 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561937185470 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562122416348 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562055410645 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561928849313 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561879282279 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562047056647 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561827511888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561983812913 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561821946950 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561921752990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561933257725 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561911309336 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561827977704 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561951000484 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561924798449 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562085416972 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561822807464 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561810193895 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561937209177 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561882064820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562042150790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561874419751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561857358705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561916484367 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561924591692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561826358272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561794953826 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561911894286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562076256618 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561888006735 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561848402687 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561947470015 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561922495658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561827489488 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561886578871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561903793413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561907621315 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561914478186 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562070807270 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561975930016 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561809058438 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561737316202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561950807044 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561937274362 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561796445533 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561808401634 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561770693329 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561849158501 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561936826368 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561817598324 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561887884597 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561880888531 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561730155842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562006517930 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561817281039 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561809311385 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561958143949 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561815157056 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561910786701 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562061817531 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561869629728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561903416994 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561999785386 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561983661509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561948204778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561937444778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561893852718 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561901867973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561927647131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561857946214 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561836099215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561876604061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561976631016 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561855046962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561919392980 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562020827940 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562020263346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561967447320 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561881769647 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562052955394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561901784826 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561905160694 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561763464051 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561784734739 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561822255010 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561845770110 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561874024374 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561972623716 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561671366820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562090122728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561910278244 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561924670741 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561882242272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.561906986855 +/- 0.000089128267 
