IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559182337464 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559241288748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559148505677 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559338930032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559297333985 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559276967894 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559307382067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559128203194 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558914699851 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559209374715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559139753077 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559058993709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559064491729 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559214026151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559225251581 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559111246538 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559085268709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559445930762 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559250075110 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559159502032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559107856131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559083587767 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559200927337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559320238774 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559220538588 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558906812732 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558971278493 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559208499077 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559142048625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559071101510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559077834908 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559113300977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559208056144 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558985727969 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559063763580 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559159983740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559077850534 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559179067803 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559388142873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558950744327 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559140366055 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559358153590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559081529985 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559250800069 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559132668152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559172660638 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559227527740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559280092592 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559185810753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559109874130 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559321936084 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559233677504 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559185382847 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559081923589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559329467015 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559254470975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559184440418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559149285825 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559141033655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559260079431 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559244550788 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559342856744 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559026682656 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559146138115 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558981044153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559286522833 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559244174635 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559083409733 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559192196016 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559200585593 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559254401262 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559075936036 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559103103206 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559123761708 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559305714025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559283057219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559066626580 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559225314171 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559056096527 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559082699788 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559132225578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559102718705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559161190624 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559237909410 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559170719200 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559301188974 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559279086217 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559295935893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559176334366 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559135196925 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559174502521 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559101186555 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559064027404 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559330932254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559126164516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559220059869 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559352270202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559161658455 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559118437535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559318816147 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.559176035391 +/- 0.000105236514 
