IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517625246523 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517604991586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517610212623 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517584723663 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517617829934 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517606748157 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517621206973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517603859750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517606677796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517573697607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517618249652 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517578932515 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517630590549 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517580825138 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517620609518 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517598751871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517612885774 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517588471020 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517607183151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517559065360 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517613086860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517607696126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517590963582 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517617791840 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517608969178 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517601152921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517584068776 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517610379717 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517583044961 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517597061295 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517610355448 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517605412382 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517591244357 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517617167627 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517624364625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517613350063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517564191835 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517594875995 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517605622339 
