IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523521914322 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523560560418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523527153344 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523522403868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523556536714 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523518479203 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523539714512 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523536036234 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523532785683 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523533076484 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523523194981 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523522959222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523533196172 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523554451037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523521839563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523548384752 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523522303390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523529808559 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523531967714 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523514339014 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523531822397 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523534586258 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523534985640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523508071613 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523538641689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523533997975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523532895697 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523559971208 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523529785876 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523528405160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523539771530 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523547671917 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523557134600 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523533398147 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523525454499 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523510248410 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523555990198 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523535873302 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523533414501 
