IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513024255770 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513088776612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513033006179 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513010469625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513040033338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513011193419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513056295039 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513025813316 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513043423536 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513031968671 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513009715802 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513056839364 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513024294732 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513043517984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513005380637 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512993247305 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513018330755 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513050946943 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512994016102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513004314471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513006535259 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513021115941 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513010151362 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512999133018 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513032021649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513093948599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513000123736 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513016563378 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512971250934 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512988269365 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513058286907 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513039466799 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513028913460 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513062564173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513062487942 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513025889695 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512996576468 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513046932887 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513044363558 
