IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -91763073.503780409694 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -78846227.121703714132 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -93174771.830850869417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -78696137.371249362826 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -125999142.569203019142 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75228444.010138303041 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -91214299.231531128287 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -141003729.315460503101 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -138658774.362624019384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75531876.022091820836 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -79561428.396497502923 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -72562966.545006588101 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -87122536.167546048760 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -81588110.014476671815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -108875346.570377305150 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -71934691.437755659223 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -78648192.659373238683 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -97184011.618842691183 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -71356895.218296632171 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -70599854.828674286604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -67533770.517384231091 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -65267677.796472735703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -82245674.959990844131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -70198493.884527236223 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -87612297.146608769894 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -108118009.662836432457 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -95281982.739731684327 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -92130341.122074410319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -102453324.790191560984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -93550868.846875637770 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -94952810.377986282110 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -100405364.728693038225 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -77096992.509721621871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -120179283.416419744492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -90533081.680412098765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -89916756.617622330785 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -84347453.576201990247 
