IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -388562.068162671232 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 23052.219648613489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -44387.076456211071 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75161.605376335603 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 27186.295820389954 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 101112.602238966138 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 106716.435436447879 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 53013.230975525265 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 16093.393321734493 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -87121.000219014837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -137578.314069570130 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -102630.558568157532 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -55409.377391557762 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -113671.029192451126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -106326.074118521472 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -553502.324240591144 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 510753.358514635242 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 66621.813264663375 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -329499.958421010175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 296784.611887247360 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -180737.190085700946 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -1146077.006652344018 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 59672.548317298300 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -42401.450779208419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -51596.154603386472 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -265246.612769541389 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -103972.708615662224 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -259394.727900949540 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -468716.631524966739 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -18535.748851509572 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -122764.676237961437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 1748811.550994402496 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -120691.611904075675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 14972.541654552162 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -231155.435821138235 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -58961.820375731462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -179441.658817120304 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -90264.133193780290 
