IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505010504072 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504819268240 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504951981372 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505062745582 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505076427811 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504932467462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504863641449 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504911857658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505010679192 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504872442965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505039335742 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504882214964 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504853313932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505050718084 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504808327779 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504860791045 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504959090873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504855658858 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504861536062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505101727707 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504833176953 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504875173719 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504767965897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505033166943 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504839562572 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504902062342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504613660109 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504843219153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504923246004 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504675005384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504886408982 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504887742255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504684861251 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504910859727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504778046467 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504783926510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505004521780 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504769095516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505088939195 
