IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519116498419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519190581519 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519138472241 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519131507897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519158243370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519180800071 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519120020486 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519200232215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519126696146 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519210552737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519101366481 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519116008448 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519175755119 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519086879243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519051110132 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519115776065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519211037092 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519172823997 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518857649736 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519113930611 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519190625324 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519189481933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519161113273 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519157575571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519179226057 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519153063970 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519106442670 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519133356407 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519134278936 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519082018921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519065075872 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519143346958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519163382865 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519108081177 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519086379735 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519116507642 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519212846021 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519162966544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519201594488 
