IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524759440074 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524663238492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524772960626 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524810070533 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524787420468 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523802405556 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524817948787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524733857462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524732452163 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524785099970 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524805451010 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524630539177 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524692557098 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524808269640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524792234665 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524729922668 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524732602100 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524758220280 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524767836152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524780979054 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523808270690 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524771833155 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524692667666 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524848641029 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524763179583 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524784403243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524851833123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524782377149 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524874824354 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524762047584 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524817062030 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524806619474 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524811113220 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524864602284 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524718003870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524852482908 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524647700711 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524706623850 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524756012584 
