IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510985727938 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511164756510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511049667117 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510892857372 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510876813716 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511152504802 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510960240009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511006490071 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510946897710 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510994924737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510996120874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510940828859 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511100555870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511191796202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511090907061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510961780270 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510979401163 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510979086979 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511010155458 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510919953659 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510970251717 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510928926802 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511019046896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510974865740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511014429947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510923431978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510996076247 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511023407464 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510934611796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511017835158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511025090971 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511075787741 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511067706089 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511019641370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511041133259 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510959700869 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510980749447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510958384093 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510937172564 
