IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518013409250 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517934548434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517925937412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518016878777 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517998342040 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518040807321 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517996205383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518058477010 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518099898752 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518017445214 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518050326417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518009921407 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518020486467 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517965658081 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518007555699 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518043873159 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518041497671 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517987532222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518027645413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518036724247 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517992585534 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517952248283 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517976968863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517983366942 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518009433554 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517996737530 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518111972245 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518101065062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518084208224 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517969915446 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518035973120 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517992202275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518060951227 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518010362819 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518024558820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518076445438 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518033539294 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517988743161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518088744461 
