IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524172875578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524115411384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524170294108 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524125338850 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524176271785 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524116614132 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524101309578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524137724268 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524150067321 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524212588556 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524139470054 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524137300845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524116254609 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524161834996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524191572292 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524169987486 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524191068518 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524185182120 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524171874330 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524198798047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524087606504 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524128656516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524132886690 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524210427519 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524122982710 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524161094589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524122190414 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524157025631 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524114259378 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524114093361 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524213557797 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524150984812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524153590087 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524151265646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524128661170 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524168456006 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524160339871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524172217320 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524156903850 
