IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319855 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514036721309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514112143013 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514025055059 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514109216515 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514033731518 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514065628225 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514111103573 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514018564040 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514059693014 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514167830665 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514072753842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514146961786 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514181611966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514064399770 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513991683966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514036201805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513993649965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514052248932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514032357221 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514116457620 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514064193640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514079894093 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514109931967 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514025608775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514133934190 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513947111951 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514167287570 
