IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519323057612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519337202169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519436614224 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519303574379 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519390387385 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519361301037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519412849895 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519415742070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519364694995 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519455536632 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519369766797 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519396745229 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519427944082 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519403126648 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519388490718 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519383643502 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519338602017 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519373184731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519397544136 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519337758702 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519396279897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519342408238 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519417173945 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519391076932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519343675278 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519380317493 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519390865396 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519347400954 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519415363904 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519375047076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519334865629 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519393866078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519327322866 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519370292188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519384288211 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519397977277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519362166693 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519436820062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519385832591 
