IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525498825680 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525454519309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525525277419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525524111903 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525506137540 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525448830470 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525548399817 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525536075870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525490436912 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525514111505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525504413272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525487997901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525610946684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525541655703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525526339567 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525481579753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525572124571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525496704578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525540030146 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525565101447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525464261401 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525514250304 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525451080354 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525541241542 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525535936258 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525530781095 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525588122074 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525537737423 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525537061415 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525469259861 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525475127478 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525563449236 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525516596530 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525506607544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525513090285 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525483128349 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525513530328 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525497828696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525494927187 
