IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511073655675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511011483339 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510951759192 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510921069892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510935851184 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510963748469 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511046384919 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510965071123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510891160434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510939994845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511024352002 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511051820264 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511030083587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510937507252 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510862178445 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510968103351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511093307329 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510923808547 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510938595979 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510918125620 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510969972282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510931812085 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511025574880 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511052065161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511062911177 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510945565315 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510942855762 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510946933650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511094817793 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511014586254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510993168047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510954544485 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510892926903 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511079403544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510987646571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510994327511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511025353261 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510993750693 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510959354857 
