IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519708067648 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519962964015 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519814856625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519769173575 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520232122112 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519791544097 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519630686972 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519467098403 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519629590566 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519711615434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519761982226 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519721059639 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519743286724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519711616731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519849760215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519712884905 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519786206685 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519700553472 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519718871203 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519826517909 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519691547058 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519738457040 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519750217976 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519651920610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519659563112 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519758800393 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519704395682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519820653238 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519666103795 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519798240877 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519611862344 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519783352655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519589376946 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519721523425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519794385189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519755411214 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519652989537 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519674407709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519776318507 
