IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520487121528 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520481512937 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520529494644 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520555784133 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520514741523 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520497851300 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520482515260 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520463869285 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520569664525 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520479953416 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520465497303 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520518063956 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520515892449 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520494255928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520521694803 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520522293263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520510303958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520517893504 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520482557445 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520512391884 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520505559364 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520513772084 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520499026082 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520528929284 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520477324495 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520501639073 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520446868690 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520534821108 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520498812325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520451433413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520472966489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520418857433 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520490139190 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520495224131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520530625265 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520499402966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520501526298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520461984789 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520525101151 
