IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519050699615 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518943735745 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519189105702 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518989450061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519052788728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519120784048 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519079869115 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518946549878 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519060380193 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519112792160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518986710095 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519102253521 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519176709223 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519138023790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519344761221 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519004010510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519225679497 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519148561848 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519007358691 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519150429200 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519130553017 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519095339349 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518977397328 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519114912795 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519015672737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519032613815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519031985710 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519080684394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519216638450 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519038052416 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518990828310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519224335875 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519033181083 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518998065915 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519106340553 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519148713114 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519285525176 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519173610899 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.519130523635 
