IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516454505042 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516381848547 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516408397578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516370246078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516427522263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516404815106 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516470228925 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516415137926 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516441468289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516388538573 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516354124158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516433202877 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516397390631 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516439843321 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516376282565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516368404994 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516415759829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516421909052 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516393767113 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516447062753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516396771874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516401416243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516385454584 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516388324789 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516385774663 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516405274514 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516406846573 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516425742823 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516416337370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516417114239 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516408910893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516403295277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516371963441 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516356028442 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516415063453 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516415856034 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516414971333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516382676285 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516383038966 
