IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525207046416 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525258353507 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525279606536 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525253712381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525300716977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525248458477 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525202741612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525246215526 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525233936821 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525193701632 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525247032648 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525221917744 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525303308798 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525169890073 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525271677963 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525164764240 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525254869933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525197950769 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525295837207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525264477843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525276931247 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525256414339 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525180770272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525285740261 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525295922720 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525224901973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525312230577 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525204932165 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525278260184 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525265769219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525241234956 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525237707901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525277571062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525161519236 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525183711371 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525260788684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525283879561 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525296169454 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525200163542 
