IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319855 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515362790755 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515323309338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515280472245 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515441553263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515282553467 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515339959593 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515298016232 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515352489185 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515323623921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515327896180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515307575594 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515345333177 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515370237646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515304997020 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515337251060 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515334582199 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515337993494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515256821798 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515319783241 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515409732886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515274444513 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515367612608 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515218239557 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515353852509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515372208730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515346309673 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515450508696 
