IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514999605847 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515068613538 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515115995752 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515012028639 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515045676372 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515164137352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515075628441 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515172364779 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515063121627 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515199583835 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515078586787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515105825634 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514998560405 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515089016654 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515056740380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515029878986 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515083308528 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515031100205 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515071780436 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515041620255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515002696958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515032139882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514984866674 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515080728380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515011964554 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514929668205 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515050978337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515018028615 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515130099352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515185939406 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515051675019 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515108616916 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515132399981 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515141350924 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515000260715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515031748123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515037921704 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515036183722 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.515075291160 
