IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523583196327 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523564894478 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523660621338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523619064808 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523624736197 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523581291574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523683999775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523587267202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523562164022 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523525360228 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523569483254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523592864233 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523558647835 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523606776688 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523528467963 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523547220450 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523540773599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523497824725 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523644362750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523697141263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523627422289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523685315435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523655727105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523608915313 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523620529458 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523510387410 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523572067583 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523627537129 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523594103521 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523567828638 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523573906362 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523581305122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523565413823 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523638247269 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523608172189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523606712462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523550977613 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523592667496 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.523644520139 
