IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513969535661 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513953002272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513893125091 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513950304511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513748753158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513860863429 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513899060922 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513846877543 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513900674128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513854812486 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513856749575 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513805170341 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513811346399 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513919720453 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513868129718 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513852124150 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513907744377 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513874786016 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513906418427 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513808783985 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513877764692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513902044581 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513784163472 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513777110648 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513919016080 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513757519541 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513938668720 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513892045536 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513825084528 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514019890296 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513973395359 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513838396439 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513787195360 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513913923706 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513931552567 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513754153950 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513805944851 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513917123157 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513809407146 
