IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550230399931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550227728452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550219355085 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550265900339 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550271823958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550272130989 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550291190542 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550303153857 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550276191421 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550257876047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550246067401 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550343199874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550237181388 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550217923283 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550250628807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550260195390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550276373057 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550240219517 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550285720686 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550218041836 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550238157642 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550273441959 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550240263120 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550287066716 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550225877346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550264959928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550282210822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550286363240 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550243233867 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550330055219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550276983906 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550301800839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550282236452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550258670990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550265867849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550248974562 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550271753623 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550272617807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550240309082 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550279986971 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550263431194 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550235571804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550254825862 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550285746198 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550261349863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550237854987 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550219309422 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550253549283 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550344344892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550304091495 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550246174539 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550329847002 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550238194596 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550273341495 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550292652458 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550232060548 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550256626212 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550251806209 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550303403800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550248099222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550279321014 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550257165092 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550302978490 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550262790098 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550259232929 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550266753990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550245804437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550267652425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550278927392 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550273198677 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550299825352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550287120018 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550328039977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550318212815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550295566995 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550278753254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550297746507 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550224042166 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550276259668 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550260705990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550236563444 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550269264136 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550258789771 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550255235193 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550320458591 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550277173941 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550248924145 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550235058277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550250756271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550260381369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550242117787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550273027737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550281042275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550243938148 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550262702981 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550263290329 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550265843683 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550263108416 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550295452570 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550259033986 
