IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559008269366 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558979678140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558991649728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559008961185 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559021556077 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559008260983 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559004741140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559016101837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559021174551 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558978578285 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558982208223 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559023379995 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558993616712 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559035047577 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558992640404 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559010090693 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558977777393 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558991634219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559016971257 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558999973722 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559035649420 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558990540301 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558982390606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558974426369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559029679271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558982475360 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559010345711 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559009001837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559021122068 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558979942909 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559007850337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559000350018 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559014298521 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559003622618 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558993226530 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558982750154 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558990779760 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559003723604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559001037741 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559008604782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558976666336 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559030061594 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559014128995 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558995006903 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558984056100 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559022206478 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559028211879 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558999254734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559022938143 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559012720278 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559005626197 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558999409288 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558997127145 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559029254056 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559003429608 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559002951644 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558971273202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558999557999 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559025608237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558983453589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558989078740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559001492333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559010988966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559022943677 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558999833470 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558966245575 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559005297748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559007987709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558998036009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558975866639 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559011278163 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558996595342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558996654328 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559024659047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558997403445 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559014925563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559017215102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559004215825 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559000077233 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559011674765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559003816220 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558998518036 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558984802838 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558999118072 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558975498790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559002921826 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559014140534 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558998796680 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558987215918 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559025780333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558994449080 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558993897158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559021048235 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559033096459 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558985077911 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558978859269 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559022919832 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558991658644 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559021357316 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559000005525 
