IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204027 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542837405636 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542940655247 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542916048243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542881509245 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542879960315 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542847387466 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542910432775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542863392580 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542924347456 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542826029013 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542932427947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542841711588 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542837627773 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542814481492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542859149742 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542877332211 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542841304068 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542922456323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542870391459 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542890818143 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542858617993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542827286073 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542945587343 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542961458572 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542890701728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542816144586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542778391076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542854216669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542850616313 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542887649935 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542809436383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542832055452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542840787953 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542821679462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542866810628 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542843883638 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542846631224 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542906080667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542851383612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542826906483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542805328831 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542820785266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542881561958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542835286050 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542946893994 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542851833574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542844054027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542888212932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542851712996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542824955156 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542808571763 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542833207991 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542911460564 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542889779783 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542859681733 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542858604326 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542826123250 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542889310422 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542858111597 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542870009967 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542862469297 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542831800644 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542821259425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542957176707 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542785861118 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542794175383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542920860607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542903461314 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542850248026 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542844956057 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542943973469 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542890310860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542876793867 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542840936277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542838951612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542867510682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542926204711 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542886393557 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542868095550 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542855251859 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542906845445 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542916916964 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542819431740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542835433481 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542894340524 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542789071842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542814762923 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542870924011 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542864757432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542873346999 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542829633019 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542915413679 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542791787282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542839904983 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542869895399 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542801635947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542831551351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542882170947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542875720582 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542819422207 
