IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204027 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3883048.660134006757 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3449073.927010927815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3775825.399412849452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3553255.894759425893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3853083.992736060638 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3555467.861282330472 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3589303.578673400450 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3484771.378145849798 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3654104.248516892083 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3433259.195724803023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3260211.084934727289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3806254.278710770886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3461383.460114699323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4101635.508290058468 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3523191.033646240830 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4046083.766629550606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3879632.222745115869 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3651350.208724430762 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3675659.614305284340 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3506558.823385322932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4082495.657395494170 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3644864.010534795467 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3461355.750229340512 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3920480.307366261724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3420531.311932103243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3609667.534970550798 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3733606.514090832323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3385071.057060696650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3734679.027369466610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3506521.448427937459 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3673849.543993751518 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3700844.837951241527 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3461461.199609349482 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3547850.275053908117 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3783365.323121233843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3419968.325039647054 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4290124.677563166246 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4147095.241592317820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3986916.560011057183 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4727749.661261161789 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3795523.156175893266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3768893.145211763214 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3115837.620912797749 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3900021.616036096122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4495600.046067602932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4374880.320007058792 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3484997.958019827958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3134851.290145110805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3627966.308223488275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4255242.667593088001 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3975776.503752293531 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3608016.514439543243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3429455.780925252009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3528078.350534971338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3564411.321185626555 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3575368.775166674983 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3418807.262429248076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3740757.729100791272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4164727.054930554703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3696161.442058181390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3668556.731202112976 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4014364.153118786868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3477131.241099915933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3322605.732401618734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3796315.278894656338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3397930.272134708706 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3774538.962153066415 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 6858614.295862353407 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3950095.817364637274 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3636533.623575150967 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3811466.886508136056 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3380121.277282017283 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3404175.260019160807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3688881.574169025291 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3626132.144000635948 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3687064.702481407672 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3757798.968087916728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3890584.264229697175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3901265.363302745856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3602336.713322238065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3794662.303234919906 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3791973.894725982565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3339339.188633704558 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3702917.928498799913 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3272319.734537471086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3591306.614334138576 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3583643.775770749897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3839635.389345550444 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3397415.978175239637 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3351989.315267227124 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3480677.226232761517 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3784204.257212151308 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3752837.887879619375 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3369868.176066622604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3516950.958695923910 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3657026.850288648624 
