IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -8174.053601262545 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -10371.611887070412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 717.371145043341 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 8522.975440509139 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -12216.598980610717 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -56629.694048875033 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 9022.099166116894 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 12446.713483766991 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -33996.059809340935 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4985.372201295708 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -18165.043076088878 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -1483.364510854058 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -4074.957495374956 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -44829.151220226930 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -3063.678004440035 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -13869.443398321595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -6222.863049366973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 1908.383177291256 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -164874.645676000568 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -475.880482519095 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -11802.032949726628 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -2597.159142518190 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -38613.477787225311 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -516.209188697452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -23133.721943316443 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -1963.902705261007 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 33388.130039911579 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 15953.886492978436 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -3740.432954189304 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4228.884609732732 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 7127.104100069285 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 11337.901503778510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 11581.314686156482 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -21629.595006493822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -38701.631895344603 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -79059.758303670576 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 15176.264787132548 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -2310.374762718516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -7821.418800512761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -40625.534477056630 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -297494.945807340380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -1159.101576144415 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -8566.700672276707 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 11233.989353184536 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 7201.085177978968 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -98737.371546476061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -17064.799391405886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -5946.355425601127 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 761.836364923272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -2712.190078025171 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -25677.953321070840 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 14948.768035984509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -1430.560129165008 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -26068.887515963845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -17597.832653071448 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -9185.677766658473 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 48994.331569406051 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -521.485448412150 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -3749.967910119336 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 21815.489120063743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -95122.026834963777 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 33670.728076991785 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3730.737986667713 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -15717.005492630789 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 19364.978745738219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -15184.550912835386 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3054.835066698699 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -17671.137119865427 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -11210.765165043791 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -19207.050731152434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -9195.816964756483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -5683.118395624349 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -14238.554315203935 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 757811.165027004317 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -427984.008678665210 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 5630.265429584112 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -9088.709480649197 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -18409.158725662593 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -22465.062992810701 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -25705.346522291722 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -34061.986907840539 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -1604.016064895071 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 14476.555151796036 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 21165.003195907902 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -26639.209915588843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 5690.212827936471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 3760.201336747108 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -56454.174300779814 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -6941.000211034873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -12555.936759349554 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -18962.500338549391 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 8507.142881576079 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -13706.053714094089 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -6917.926485238298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 20119.646199559393 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -1410.749252658499 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy 4834.784928204238 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -22039.408728747792 
