IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531719325884 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531870882705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531986795516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532005053372 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531864310443 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531575883544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531967292086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531853689977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531959054435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531906653074 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532138025063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531957083900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531931054829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532025753913 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531742548394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531930520531 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532062055296 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531759414088 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531877812778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531660295256 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531898540864 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531767407318 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531771075307 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531814957308 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532010128705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532318170697 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531778451006 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531633046491 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531717935466 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531583159594 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531747273569 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531690047735 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531598632805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531981963123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531355799730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531875437992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531960652332 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531592650688 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532040869361 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531970888710 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532116795944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531865661763 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532038954451 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531615533422 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531578472882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532009637294 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531902574673 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531571770840 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531696551256 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531996849078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531985942252 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531910646555 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531632337183 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531859216527 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531944087882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532024919415 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531864755278 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531947489731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532062012982 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531627193474 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531551286621 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531997175794 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531983310606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531906110542 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531617999373 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531836232123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531935412968 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531673062266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531863879365 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532027378489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531698557891 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532030046152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531808501160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531798550259 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532011309900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531932382525 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531648224630 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531610200419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531991788180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532036697463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532157347054 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531978496932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531924250403 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531683236737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531728982725 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531654133167 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531858250028 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531727471342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532342780735 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531967430121 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531686365499 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531851295070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532132122831 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531677254036 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531733357696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531865831842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531743485842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531783756370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531775026524 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532254768913 
