IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553826418284 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553600692940 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553794154765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553745072169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553732292669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553877038495 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553698641595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553661646418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553693670396 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553738964717 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553839097022 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553704420083 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553615143627 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553842356589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553555223227 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553668567314 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553736206311 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553718857011 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553564029931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553672100267 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553695869222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553672951210 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553836040565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553669123249 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553683806545 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553759073849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553659511125 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553664535165 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553550947430 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553722802505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553603458826 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553754267952 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553654835771 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553669955516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553769036522 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553699999603 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553620727904 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553791161226 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553747429938 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553672867446 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553702356888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553750089055 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553785075105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553711006118 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553654226992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553566203553 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553589714394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553733380840 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553610947073 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553642612782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553558126737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553886897161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553603247222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553758367761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553804086313 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553670760724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553676094751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553628762889 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553771927025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553721700565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553820879593 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553570727900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553670920164 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553611910140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553630507147 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553746632471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553624951915 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553606142141 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553794024870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553706950625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553787346843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553714979102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553831604714 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553733663081 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553634127902 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553736976958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553747719536 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553783223263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553745206817 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553649831119 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553680749272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553702541636 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553708534372 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553587343988 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553641539630 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553678357598 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553825587491 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553738152713 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553730222200 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553636786019 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553753205626 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553666844193 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553663690031 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553716570840 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553662602854 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553507571094 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553665987946 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553606707264 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553768455830 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553768436709 
