IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558870257151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558776506961 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558931996020 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558849172310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558905518042 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558917875853 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558864226707 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558842812399 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558924559946 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558913824282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558868875924 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558883400928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558815077358 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558885983447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558881750402 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558858040681 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558815641342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558884583360 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558883076074 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558907640963 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558877394471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558873239065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558892791867 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558868348429 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558795380493 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558862668529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558891769944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558904209658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558823243675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558828333191 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558954435892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558907313831 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558866798799 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558944565893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558914647339 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558808361060 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558931458762 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558801639782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558918234097 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558954073692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558900986842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558900542134 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558880341397 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558867620056 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558906129870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558852554874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558863758898 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558818200805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558880902119 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558972691351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558883084705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558950471047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559012800616 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558885614243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558879671874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558956057544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558831368006 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558884230329 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558846270037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558836653009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558857976297 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558905136373 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558890048479 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558843118466 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558854766140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558874806452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558904345075 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558824413265 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558841902960 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558878160177 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558889461007 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558987291969 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558864060695 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558896063460 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558814310860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558870025156 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558909856761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558924306914 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558875513973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558927501129 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558861623090 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558922753277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558830945905 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558882748809 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558809852556 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558863068978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558926903351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558807660532 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558945682151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558898126114 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558821038817 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558898672922 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558844705838 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558818345977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558891743905 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558897278955 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558965823297 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558858043240 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558857930142 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558856349459 
