IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548872388600 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548905497014 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548877172544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548879424977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548807450984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548843077608 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548859509257 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548819188379 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548774175718 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548858568398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548909271589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548794426480 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548887065155 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548891597505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548832063583 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548775921108 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548934416095 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548838002169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548815925355 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548896154581 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548843272890 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548890992485 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548922446176 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548866785301 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548803847900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548852970849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548776924931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548863958005 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548859083815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548834788276 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548864539844 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548739843930 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548852096084 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548829350123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548869214556 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548859091479 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548742821616 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548814220819 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548864002382 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548893898516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548852964309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548800249319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548848902375 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548819481935 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548899051181 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548891409215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548860951173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548846051018 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548813023973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548787085487 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548864079319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548890835671 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548912427136 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548884321660 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548718610979 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548912308874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548907532472 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548823493897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548870761452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548830490723 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548833198164 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548867463611 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548930819586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548894385964 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548973786779 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548834673951 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548790833503 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548889692863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548914076820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548785683154 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548880396360 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548918530429 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548859989743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548869800339 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548886719255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548760930433 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548939537218 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548899248479 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548879580341 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548893977632 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548876300070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548785467241 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548879508579 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548738300996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548859256790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548979131486 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548867379435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548804512974 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548840731509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548871540454 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548901420918 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548764420362 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548844338231 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548850596009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548919111698 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548839059753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548884836021 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548896385530 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548940303205 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548842272744 
