IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558835947592 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558837850607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558800972385 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558767991578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558789558944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558870457440 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558808255381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558804706141 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558808356067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558775337420 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558860563142 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558796736630 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558831499958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558841345658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558851780606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558788760826 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558820145130 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558768557364 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558793492392 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558832706800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558819637650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558795280286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558864701664 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558800237120 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558831488942 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558834809748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558811720275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558815387676 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558785194719 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558759937095 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558789296013 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558788632065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558783008504 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558838999454 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558824630254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558866050722 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558810396653 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558839223972 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558845438169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558784823291 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558850238384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558831272198 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558827092370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558835711872 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558767892770 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558761187545 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558907894902 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558784850208 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558784200981 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558813955242 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558817645780 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558791310361 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558841456334 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558807044466 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558793093261 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558817394140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558847748824 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558859615978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558831642872 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558766608720 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558853301434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558788315121 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558844646526 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558783524007 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558819168862 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558799738815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558798786890 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558740914178 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558811135754 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558830729461 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558881695621 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558794920112 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558823594357 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558761071182 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558838267359 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558768277973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558816162957 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558805873565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558851915536 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558805221220 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558819041894 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558806016625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558820467353 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558845476812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558816544359 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558776898183 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558846321835 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558860689851 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558813502126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558834011132 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558824942814 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558816605341 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558773165229 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558826954520 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558792516992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558843143892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558816745395 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558892876336 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558821713126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558789329024 
