IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543206153811 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543172149244 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543296067661 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543131604230 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543094752737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543120457975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543033959345 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543190440646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543185662138 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543119348341 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543000845080 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543215545873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543057445336 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543214961948 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543222249130 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543072298638 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543177423747 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543065694376 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543010937993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543091889173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543133492739 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543237911254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543092029391 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543106099638 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.542950890084 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543248263529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543095599152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543179097728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543246010131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543098155924 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543085753522 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543012344536 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543020785854 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543082719010 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543019200375 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543141520561 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543181522987 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543064364189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543076644076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543137976519 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543100118535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543184832333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543142343500 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543134745502 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543037369173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543259830297 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543069445525 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543208816401 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543075579846 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543238017333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543228363435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543131897028 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543148464277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543190994269 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543090013761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543051189202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543152860241 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543170451267 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543121038034 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543218634819 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543074258489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543225748299 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543110478443 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543122247298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543115101906 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543131202228 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543102209961 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543150754364 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543123350224 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543064742012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543153798076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543268817675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543014711783 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543164205044 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543085292125 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543289820622 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543049573967 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543129938126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543102559104 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543135296850 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543171323279 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543055229771 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543042241940 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543149410511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543069696822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543261907728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543091336965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543099986454 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543244047353 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543060357427 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543151320493 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543051984658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543241084245 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543183491912 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543088066317 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543076950772 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543155756053 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543091712148 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543060028659 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.543208014431 
