IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550365081919 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550435695506 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550439076797 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550429295003 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550466639037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550363363007 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550462343418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550474352959 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550301252540 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550402833969 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550407289073 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550401173075 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550472820037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550449711872 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550431667849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550381785805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550393682576 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550466574749 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550487307530 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550465808646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550450961563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550326101145 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550443756145 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550497465824 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550390245218 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550376530994 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550408075096 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550377377203 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550476984564 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550395174462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550433218632 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550418873483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550300525839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550375152216 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550367588996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550342192429 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550395208629 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550444956475 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550342040839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550448904772 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550384531551 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550403345830 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550350592772 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550384095535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550406520659 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550520767843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550396011586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550444979369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550355024648 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550470036659 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550399183603 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550473990759 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550398152675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550470118705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550414569799 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550459026228 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550380150850 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550457024681 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550440449763 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550380957864 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550342990666 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550483112898 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550441712748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550487670263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550444327647 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550437532175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550541255211 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550452110783 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550391099206 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550343307039 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550333561891 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550457623493 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550496924605 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550356610338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550471329241 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550512714621 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550464876381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550338221559 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550445729131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550380250599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550408517945 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550405609375 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550473906178 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550357908689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550360977074 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550397152476 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550288625812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550313471124 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550476875595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550437606401 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550451226593 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550486834239 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550466497135 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550432355581 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550354840804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550358866249 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550439314723 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550350753129 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550379688702 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550436862327 
