IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540230632563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540161575695 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540246115787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540243902955 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540046822839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540269245375 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540154117636 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540221364323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540169528152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540191455322 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540141898151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540289382746 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540136219946 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540232080867 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540225017871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.539967834519 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540162647595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540290294771 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540232933028 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540199592537 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540024989392 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540256163925 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540044024435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540068011262 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540092560560 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540177300446 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540192642944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540115515164 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540165423558 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540189778185 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540128602438 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540197635957 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540235393173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540094710163 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540150842995 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540175239514 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540112476078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540053226800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540251522115 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540346548750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540185215344 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540149873078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540107083413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540087417718 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.539996214705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540154989137 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540127642362 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540115596862 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540103678121 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540042083937 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540012618516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540230272228 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540104879237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540171144310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540163273922 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540210787404 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540085626610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540261561070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540168789153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540145309712 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540208355896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540058911448 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540006410460 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540115178056 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540211864671 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540394491932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540279826911 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540052458423 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540072458684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540368251087 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540025064102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540186524187 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540039865168 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540135460003 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540326441435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540165675421 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540162801460 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540202641427 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540130017656 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540170724992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540113117398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540138624241 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540302528191 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540086781253 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540198954076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540116065105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540147238735 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540235587648 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540309997742 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540246004494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540079061316 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540118926763 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540175411960 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540206773196 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540232192728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540237378063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540004227412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540179393196 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540200674418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.540203239425 
