IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556264294025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556170732617 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556394156156 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556186567379 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556141980331 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556410032177 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556131443142 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556046424846 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556332405787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556436818852 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556385523296 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556627394498 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556334537776 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556167353798 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556202087012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556154761632 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556230530523 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556282850346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556300370293 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556285887849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556147612990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556156819302 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556289046989 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556033425837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556109943373 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556608141480 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556423466805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556086201108 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556540950575 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556155638041 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556097104552 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556157493629 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556053265807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556377165489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556651685623 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556277101589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556241446861 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556179525888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556259880665 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556093818188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556273971226 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556539822311 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556248496650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557167672204 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556185133578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556338643598 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556228700914 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556124384353 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556515944837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556074590252 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556252059481 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556385589239 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556350511792 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556352677628 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556073042648 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556151818393 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556265884879 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556244225751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556040414376 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556314024105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556097092791 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556158865410 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556162759343 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556338000729 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555689133954 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556281129995 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556122985641 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556382555048 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556183402939 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556368798916 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556082942343 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556198049343 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556362692045 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556334720682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556282354528 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556086927423 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556074773067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556376740511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556253362788 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556372548758 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556337935594 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556311878419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556264101047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556253445430 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555944154410 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556427151412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556552319178 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556453102235 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556375055780 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556247753739 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555810327546 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556216117764 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556030379463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556115878717 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556583308619 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556007336148 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556490554541 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555931437554 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556344318122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558997595365 
