IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559690655781 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559705118239 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559667554475 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559642387883 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559648654851 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559613458230 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559671980246 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559615597165 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559557498249 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559720245104 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559610312666 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559701642333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559590509297 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559714988966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559711740707 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559612961744 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559702553961 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559607390527 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559642747446 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559648393611 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559664975912 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559709110316 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559702314406 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559704596437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559631141899 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559639014864 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559704155522 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559709384072 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559645620266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559704030861 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559705062622 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559621930105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559646590147 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559678232702 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559686203646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559674643934 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559718005145 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559603266710 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559656134273 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559691013534 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559603024114 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559699285797 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559619106176 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559724473878 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559633726459 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559651916380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559654652970 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559719714656 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559643863875 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559738279363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559679017822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559667862594 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559600740256 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559567269739 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559623378483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559653982329 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559637755133 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559628205773 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559658811013 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559632537231 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559642987860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559685315067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559665070517 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559597739400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559640856679 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559644389123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559677081832 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559619011126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559621588723 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559653310367 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559531169963 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559702701369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559582635936 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559697254342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559716281719 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559641426684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559703133611 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559687627256 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559673610452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559608733194 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559612309202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559667686363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559589990298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559671263116 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559605857924 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559686508017 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559633072232 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559674038170 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559683479086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559698030661 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559707914171 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559693364419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559711901734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559695616570 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559645406075 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559658430542 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559673713369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559685463882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559731200044 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559582191493 
