IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553620968818 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553527742979 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553301527365 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553411146276 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553427760881 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553764637587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553486618863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553390610115 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553237212811 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553641328076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553466043414 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553380390913 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553430367285 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553482612599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553189796535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553657975353 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553386045786 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553495808486 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553334679129 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553509622017 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553462573060 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553462317390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553463581077 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553475630998 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553466930724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553498291411 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553329097231 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553397676107 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553396378342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553405083997 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553375791850 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553582521765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553260054509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553484234827 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553497271363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553342435544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553674008012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553555187724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553449562068 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553424190158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553681799460 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553585901291 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553425856895 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553440992714 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553767576769 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553249447565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553566629833 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553657441074 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553637227824 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553436589779 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553595150498 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553401597355 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553581361006 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553455361962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553313318703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553416566830 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553523544845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553319773697 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553529939371 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553466729656 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553322562613 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553516473730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553495003724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553579088493 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553488129673 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553612887087 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553401492273 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553527982819 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553588815332 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553831774104 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553252947233 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553316929694 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553182089392 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553421366039 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553365957484 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553224526649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553571217478 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553568188544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553465599388 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553597952524 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553400139771 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553296720128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553540814927 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553375798012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553683953797 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553392089421 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553476586534 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553517966555 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553458645963 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553469985350 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553712540517 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553460388636 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553592910786 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553612794318 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553749649286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553288905513 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553433677537 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553445639209 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553296474456 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553356874830 
