IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551099482723 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551082367934 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551115097545 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551051102775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551066437357 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551240191166 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551080280292 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551092325853 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551134470953 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551102685237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551097736023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551105226180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551063881888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551088580425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551129504897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551201664411 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551130585324 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551102904277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551172582059 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551216688475 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551163984395 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551139398976 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551115099408 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551116939893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551149860613 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551116048578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551167759215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551136813944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551180607171 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551109409860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551109139785 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551130885630 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551150044563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551068695829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551090516821 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551152018128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551110536077 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551177271707 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551115620644 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551225781299 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551132290242 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551059897957 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551113341127 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551151137613 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551208795087 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551114002701 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551076076782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551113239471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551141063269 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551079041668 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551071020035 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551136309154 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551065213748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551106156955 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551066109623 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551083562378 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551117058391 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551204938825 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551095847614 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551162901136 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551216398067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551215169781 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551058677924 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551134646189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551118351279 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551093144637 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551144156031 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551165752644 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551045148395 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551140654713 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551065363061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551071839027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551091203957 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551075208907 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551112389975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551170936237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551135888483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551211383132 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551153047751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551226591284 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551141498770 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551090082291 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551136555175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551125846325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551140081993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551222672491 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551094090370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551131993750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551070092958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551063200007 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551145228049 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551171990083 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551086450189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551124105169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551149239046 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551140350541 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551150860843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551019547102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551157615718 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551123750915 
