IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559241418141 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559226756035 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559217735231 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559275048100 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559207259234 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559194538353 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559257005474 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559226883086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559287156643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559238748680 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559230163961 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559268741049 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559209426475 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559240015430 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559211312596 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559272886307 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559216914086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559245970907 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559252737466 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559221679613 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559240356933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559204108812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559247335105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559213393105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559204046034 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559240851551 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559272057255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559231840671 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559203300266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559201618870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559220667040 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559234132959 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559230554915 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559265269941 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559237654023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559214364178 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559223883980 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559268636991 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559223543649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559222282873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559240477891 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559202816851 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559165703102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559215671896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559215517382 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559237577801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559241132676 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559217098884 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559229661397 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559249031441 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559263613877 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559264999234 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559242116457 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559260242140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559243466373 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559229739869 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559268502736 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559245656761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559231764103 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559162965034 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559221951924 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559263173279 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559251415694 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559237680693 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559214722724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559218601982 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559256238810 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559252064207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559248699501 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559214093133 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559190094690 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559192043247 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559237514138 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559217067960 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559179957137 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559209157473 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559223744244 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559217557795 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559231156790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559184391762 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559210763210 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559210594184 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559253870278 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559261151283 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559234037349 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559175829541 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559197837786 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559269205053 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559199417545 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559235725653 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559209680257 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559190311594 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559214449958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559273316730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559237477197 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559187849578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559245194832 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559217052912 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559270865411 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559229302758 
