IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204027 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550677719954 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550837139403 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550886614717 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550763966004 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550806997600 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550762300251 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550766822120 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550838642179 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550716842167 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550839721036 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550780244070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550733111841 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550872472649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550769786004 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550931883931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550679744250 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550807427830 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550837029677 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550751537049 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550703973592 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550812735842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550855777480 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550755248633 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550735211742 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550861396737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550838984739 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550632878777 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550865594651 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550890622959 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550817730125 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550954233090 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550848916168 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551012141520 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550870692426 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550807827830 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550785510700 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550885495792 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550722322494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550885660272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550725280453 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550803686311 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550717634722 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550874118754 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550789849787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550766602324 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550766132369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550898472556 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550850541258 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550852934029 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550931758877 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550865864622 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550782922573 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550882004380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550814207886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550907466356 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550837761770 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550838718313 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550717354042 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550780222305 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550867849705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550852228511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550842272068 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550849343210 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550711669346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550856099963 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550708349154 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550903024440 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550927591793 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550845059849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550795572868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550724771431 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550825811259 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550775401699 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550789662709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550863714923 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550856847122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550701918771 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550817592947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550767598439 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550718902394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550825418427 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550879289845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550824132433 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550751740753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550744623421 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550847043697 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550870821365 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550843789408 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550839411859 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550729087669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550827300571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550844639535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550794828612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550855240795 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550782034495 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550845942309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550834510845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550753417578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550832542219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550683233258 
