IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558778014024 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558770659755 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558787204742 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558781230047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558779174495 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558793548159 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558844471770 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558750085572 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558776060087 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558763139990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558757905252 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558777610483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558827414093 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558831818226 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558763209558 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558764272102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558758867011 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558795078540 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558831038191 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558783059896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558758944112 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558806599316 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558791926814 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558764539574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558795978753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558792371071 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558752683577 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558776336427 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558823843414 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558854925328 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558781999788 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558758630282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558713274027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558792200763 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558817302620 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558791810274 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558776322667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558816531366 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558851864227 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558763924815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558850048020 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558748341529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558730064728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558797846854 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558760994543 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558789024219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558750527153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558810850084 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558777573367 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558716460151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558742459530 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558823385298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558789553860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558789119818 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558741082060 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558802421663 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558722553639 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558804453796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558844018978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558830593835 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558767969303 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558783858005 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558750719327 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558739854508 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558777568039 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558780432140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558778124871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558800015117 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558836771265 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558771790158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558730302161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558797497738 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558797212255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558779834365 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558829724169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558802396741 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558828462716 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558734066526 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558822684973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558799161689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558736485468 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558810911673 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558864185033 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558776789665 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558773847556 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558799388732 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558787521571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558780413989 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558802333806 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558747041363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558805237588 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558821922000 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558793899728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558844548407 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558793675280 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558803041585 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558793716261 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558828286689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558784036426 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558785435411 
